2017-05-08 18:25:25 INFO  P2P:128 - Client initialized with size: 5
2017-05-08 18:25:28 WARN  CrypDist:216 - Blockchain update procedure is started!
2017-05-08 18:25:28 INFO  CrypDist:57 - Pair size is now 5
2017-05-08 18:25:28 INFO  P2P:343 - KEY SET IS CALLED WITH 5 PEERS
2017-05-08 18:25:28 INFO  P2P:177 - BROADCASTED TO 5 PEERS
2017-05-08 18:25:29 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:29 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:29 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:29 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:29 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:29 INFO  BlockchainManager:118 - KEYSET IS:
2017-05-08 18:25:29 INFO  BlockchainManager:121 - ITEM 0x0
2017-05-08 18:25:29 INFO  BlockchainManager:124 - BLOCKMAP IS:
2017-05-08 18:25:29 INFO  BlockchainManager:127 - MAP 0x0
2017-05-08 18:25:42 INFO  P2P:128 - Client initialized with size: 6
2017-05-08 18:25:46 WARN  CrypDist:216 - Blockchain update procedure is started!
2017-05-08 18:25:46 INFO  CrypDist:57 - Pair size is now 6
2017-05-08 18:25:46 INFO  P2P:343 - KEY SET IS CALLED WITH 6 PEERS
2017-05-08 18:25:46 INFO  P2P:177 - BROADCASTED TO 6 PEERS
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  P2P:191 - RESULT IS ADDED: ["0x0"]
2017-05-08 18:25:46 INFO  BlockchainManager:118 - KEYSET IS:
2017-05-08 18:25:46 INFO  BlockchainManager:121 - ITEM 0x0
2017-05-08 18:25:46 INFO  BlockchainManager:124 - BLOCKMAP IS:
2017-05-08 18:25:46 INFO  BlockchainManager:127 - MAP 0x0
